------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd Filter Normal -----------
Serial Number: MOS2E24230753
Start Time 20:00:00
Start Date 2025-05-01
Epoch Period (hh:mm:ss) 00:01:00
Download Time 08:28:12
Download Date 2025-05-15
Current Memory Address: 0
Current Battery Voltage: 3.95     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
2025-05-01,20:00:00,358,1132,1015,6,0,12,0,6,42,1561.99
2025-05-01,20:01:00,936,2143,1638,12,0,0,60,0,0,2855.1
2025-05-01,20:02:00,96,342,682,2,0,0,0,0,60,768.96
2025-05-01,20:03:00,527,1012,1004,5,0,0,60,0,0,1519.83
2025-05-01,20:04:00,597,1130,1022,10,0,0,60,0,0,1636.4
2025-05-01,20:05:00,604,1237,1333,6,0,0,60,0,0,1916.21
2025-05-01,20:06:00,452,422,789,7,0,0,60,0,0,1002.45
2025-05-01,20:07:00,698,941,1260,12,0,0,60,0,0,1720.55
2025-05-01,20:08:00,220,1057,1317,6,0,0,0,0,60,1702.98
2025-05-01,20:09:00,639,932,1762,6,0,0,60,0,0,2093.22
2025-05-01,20:10:00,629,257,582,6,0,0,60,0,0,894.66
2025-05-01,20:11:00,94,264,322,4,0,0,0,0,60,426.87
2025-05-01,20:12:00,51,286,741,1,0,0,0,0,60,795.91
2025-05-01,20:13:00,196,661,609,6,0,2,0,0,58,919.9
2025-05-01,20:14:00,1374,1582,1551,14,0,0,60,0,0,2606.95
2025-05-01,20:15:00,928,1090,1138,9,0,0,60,0,0,1828.75
2025-05-01,20:16:00,1165,1100,1554,17,0,0,60,0,0,2232.07
2025-05-01,20:17:00,1400,1288,1202,11,0,0,60,0,0,2250.28
2025-05-01,20:18:00,0,0,0,0,0,0,0,60,0,0
2025-05-01,20:19:00,974,2608,1276,4,0,0,60,0,0,3062.44
2025-05-01,20:20:00,1621,1291,2146,5,0,0,60,0,0,2983.23
2025-05-01,20:21:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:22:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:23:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:24:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:25:00,201,147,302,3,0,43,0,14,3,391.43
2025-05-01,20:26:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:27:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:28:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:29:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:30:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:31:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:32:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:33:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:34:00,222,181,120,2,0,60,0,0,0,310.56
2025-05-01,20:35:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:36:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:37:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:38:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:39:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:40:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:41:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:42:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:43:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:44:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:45:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:46:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:47:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:48:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:49:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:50:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:51:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:52:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:53:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:54:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:55:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:56:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:57:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:58:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,20:59:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:00:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:01:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:02:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:03:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:04:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:05:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:06:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:07:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:08:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:09:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:10:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:11:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:12:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:13:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:14:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:15:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:16:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:17:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:18:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:19:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:20:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:21:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:22:00,105,77,232,2,0,60,0,0,0,266.04
2025-05-01,21:23:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:24:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:25:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:26:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:27:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:28:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:29:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:30:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:31:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:32:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:33:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:34:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:35:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:36:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:37:00,862,779,524,5,0,0,60,0,0,1274.54
2025-05-01,21:38:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:39:00,17,17,4,0,0,60,0,0,0,24.37
2025-05-01,21:40:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:41:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:42:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:43:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:44:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:45:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:46:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:47:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:48:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:49:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:50:00,0,0,0,0,0,60,0,0,0,0
2025-05-01,21:51:00,271,288,87,2,0,60,0,0,0,404.91
2025-05-01,21:52:00,0,10,6,0,0,60,0,0,0,11.66
2025-05-01,21:53:00,1638,1778,1528,14,0,0,60,0,0,2859.91
2025-05-01,21:54:00,1871,1654,1708,12,0,0,60,0,0,3025.5
2025-05-01,21:55:00,1843,1997,1634,13,0,0,60,0,0,3170.9
2025-05-01,21:56:00,2103,1911,1773,8,0,0,60,0,0,3349.34
2025-05-01,21:57:00,1631,1220,1718,9,0,0,60,0,0,2664.6
