------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd Filter Normal -----------
Serial Number: MOS2E03221558
Start Time 20:00:00
Start Date 2025-05-19
Epoch Period (hh:mm:ss) 00:01:00
Download Time 10:30:58
Download Date 2025-06-04
Current Memory Address: 0
Current Battery Voltage: 4.03     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
2025-05-19,20:00:00,14,33,23,0,0,0,0,60,0,42.59
2025-05-19,20:01:00,258,109,76,1,0,0,0,0,60,290.21
2025-05-19,20:02:00,454,472,1091,3,0,0,60,0,0,1272.47
2025-05-19,20:03:00,26,29,16,2,0,0,0,60,0,42.11
2025-05-19,20:04:00,126,75,120,1,0,0,0,53,7,189.48
2025-05-19,20:05:00,165,76,110,2,0,0,0,33,27,212.37
2025-05-19,20:06:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:07:00,93,29,85,1,0,0,0,58,2,129.29
2025-05-19,20:08:00,1,63,131,0,0,0,0,0,60,145.37
2025-05-19,20:09:00,985,477,817,3,0,0,60,0,0,1365.74
2025-05-19,20:10:00,632,650,535,5,0,0,60,0,0,1052.69
2025-05-19,20:11:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:12:00,29,83,81,1,0,0,0,60,0,119.54
2025-05-19,20:13:00,0,0,0,0,0,0,0,56,4,0
2025-05-19,20:14:00,93,29,194,1,0,0,0,57,3,217.09
2025-05-19,20:15:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:16:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:17:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:18:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:19:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:20:00,217,36,133,2,0,0,0,46,14,257.05
2025-05-19,20:21:00,0,0,0,0,0,0,0,42,18,0
2025-05-19,20:22:00,0,0,0,0,0,0,0,29,31,0
2025-05-19,20:23:00,175,49,27,0,0,0,0,22,38,183.73
2025-05-19,20:24:00,800,212,311,6,0,0,60,0,0,884.12
2025-05-19,20:25:00,113,337,152,2,0,0,0,39,21,386.58
2025-05-19,20:26:00,754,658,441,3,0,0,60,0,0,1093.6
2025-05-19,20:27:00,122,213,232,3,0,0,0,41,19,337.75
2025-05-19,20:28:00,0,7,33,0,0,0,0,60,0,33.73
2025-05-19,20:29:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:30:00,927,1290,717,10,0,0,60,0,0,1742.85
2025-05-19,20:31:00,482,487,367,4,0,0,60,0,0,777.29
2025-05-19,20:32:00,1683,1542,2038,13,0,0,60,0,0,3060.02
2025-05-19,20:33:00,723,604,320,2,0,0,60,0,0,994.96
2025-05-19,20:34:00,395,527,833,4,0,0,0,51,9,1061.91
2025-05-19,20:35:00,114,83,118,2,0,0,0,42,18,183.87
2025-05-19,20:36:00,61,36,24,2,0,0,0,60,0,74.79
2025-05-19,20:37:00,42,78,57,1,0,0,0,60,0,105.34
2025-05-19,20:38:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:39:00,52,85,10,4,0,0,0,60,0,100.14
2025-05-19,20:40:00,29,22,11,1,0,0,0,60,0,38.03
2025-05-19,20:41:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:42:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,20:43:00,30,0,10,1,0,0,0,60,0,31.62
2025-05-19,20:44:00,49,29,25,2,0,0,0,60,0,62.19
2025-05-19,20:45:00,16,9,0,0,0,0,0,60,0,18.36
2025-05-19,20:46:00,39,71,41,1,0,0,0,60,0,90.79
2025-05-19,20:47:00,169,116,195,2,0,0,0,54,6,282.92
2025-05-19,20:48:00,147,78,48,1,0,0,0,40,20,173.2
2025-05-19,20:49:00,21,37,12,1,0,0,0,60,0,44.2
2025-05-19,20:50:00,226,195,166,1,0,1,0,9,50,341.55
2025-05-19,20:51:00,1215,975,1466,7,0,0,60,0,0,2139.16
2025-05-19,20:52:00,2175,1544,1702,17,0,0,60,0,0,3164.07
2025-05-19,20:53:00,1847,1535,1937,15,0,0,60,0,0,3085.39
2025-05-19,20:54:00,468,602,838,10,0,0,60,0,0,1132.99
2025-05-19,20:55:00,731,896,1371,9,0,0,60,0,0,1793.55
2025-05-19,20:56:00,869,682,1003,11,0,0,60,0,0,1492.08
2025-05-19,20:57:00,424,559,958,6,0,0,60,0,0,1187.44
2025-05-19,20:58:00,556,623,327,4,0,0,60,0,0,896.77
2025-05-19,20:59:00,294,334,293,5,0,0,0,57,3,532.77
2025-05-19,21:00:00,3074,1923,4874,26,0,0,60,0,0,6074.81
2025-05-19,21:01:00,212,252,462,5,0,0,0,60,0,567.36
2025-05-19,21:02:00,890,1003,1407,12,0,0,60,0,0,1943.65
2025-05-19,21:03:00,1553,1246,2039,12,0,0,60,0,0,2849.89
2025-05-19,21:04:00,1426,772,1218,9,0,0,60,0,0,2028.05
2025-05-19,21:05:00,701,263,794,4,0,0,60,0,0,1091.33
2025-05-19,21:06:00,0,0,0,0,0,0,0,60,0,0
2025-05-19,21:07:00,1394,1178,1575,9,0,0,60,0,0,2410.71
2025-05-19,21:08:00,1200,1814,1542,16,0,0,60,0,0,2666.15
2025-05-19,21:09:00,935,1324,868,10,0,0,60,0,0,1838.65
2025-05-19,21:10:00,1451,1718,1099,9,0,0,60,0,0,2502.94
2025-05-19,21:11:00,1114,1120,1009,7,0,0,60,0,0,1874.43
2025-05-19,21:12:00,209,135,1068,6,0,0,0,17,43,1096.6
2025-05-19,21:13:00,2016,1671,1671,17,0,0,60,0,0,3106.24
2025-05-19,21:14:00,2478,2003,3103,31,0,0,60,0,0,4447.6
2025-05-19,21:15:00,1731,1333,2135,53,0,0,60,0,0,3054.75
2025-05-19,21:16:00,280,519,411,3,0,0,3,19,38,718.81
2025-05-19,21:17:00,1855,1050,2130,73,0,0,60,0,0,3013.37
2025-05-19,21:18:00,1816,416,1528,87,0,0,60,0,0,2409.5
