------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd Filter Normal -----------
Serial Number: MOS2E48232807
Start Time 19:00:00
Start Date 2025-06-25
Epoch Period (hh:mm:ss) 00:01:00
Download Time 13:46:39
Download Date 2025-07-09
Current Memory Address: 0
Current Battery Voltage: 3.92     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
2025-06-25,19:00:00,261,122,384,3,0,0,0,3,57,480.06
2025-06-25,19:01:00,0,0,21,0,0,0,0,0,60,21
2025-06-25,19:02:00,34,22,82,1,0,0,0,0,60,91.45
2025-06-25,19:03:00,631,743,1411,10,0,0,60,0,0,1714.97
2025-06-25,19:04:00,577,479,1098,4,0,0,60,0,0,1329.65
2025-06-25,19:05:00,2247,2619,1789,14,0,0,60,0,0,3886.99
2025-06-25,19:06:00,1498,1509,3801,15,0,0,60,0,0,4355.31
2025-06-25,19:07:00,2780,3374,4601,39,0,0,60,0,0,6346.77
2025-06-25,19:08:00,2166,2060,2842,35,0,0,60,0,0,4124.58
2025-06-25,19:09:00,2461,1453,3944,28,0,0,60,0,0,4870.61
2025-06-25,19:10:00,3809,2487,4328,24,20,0,60,0,0,6278.95
2025-06-25,19:11:00,2264,1510,3522,20,25,0,60,0,0,4450.87
2025-06-25,19:12:00,3147,2569,3484,17,0,0,60,0,0,5351.79
2025-06-25,19:13:00,2087,1624,2934,16,0,0,60,0,0,3949.85
2025-06-25,19:14:00,696,182,1007,9,0,0,60,0,0,1237.57
2025-06-25,19:15:00,3213,3184,6253,34,0,0,60,0,0,7717.59
2025-06-25,19:16:00,3087,2210,5688,23,0,0,60,0,0,6838.64
2025-06-25,19:17:00,3907,3288,3221,26,0,0,60,0,0,6037.42
2025-06-25,19:18:00,2537,2404,3250,15,0,0,60,0,0,4772.64
2025-06-25,19:19:00,2713,3215,2852,12,0,0,60,0,0,5082.37
2025-06-25,19:20:00,3421,2815,3144,15,0,0,60,0,0,5432.51
2025-06-25,19:21:00,842,438,1321,7,0,0,60,0,0,1626.61
2025-06-25,19:22:00,508,360,522,3,0,0,60,0,0,812.49
2025-06-25,19:23:00,1748,650,872,3,0,0,60,0,0,2058.73
2025-06-25,19:24:00,480,320,756,3,0,0,60,0,0,950.97
2025-06-25,19:25:00,0,0,57,0,0,0,0,60,0,57
2025-06-25,19:26:00,0,2,0,0,0,0,0,60,0,2
2025-06-25,19:27:00,0,0,21,0,0,0,0,60,0,21
2025-06-25,19:28:00,0,0,0,0,0,0,0,60,0,0
2025-06-25,19:29:00,0,0,0,0,0,0,0,60,0,0
2025-06-25,19:30:00,242,129,532,3,0,0,0,47,13,598.52
2025-06-25,19:31:00,267,28,63,1,0,0,0,59,1,275.76
2025-06-25,19:32:00,307,140,74,1,0,0,0,31,29,345.43
2025-06-25,19:33:00,0,130,52,0,0,0,0,60,0,140.01
2025-06-25,19:34:00,874,1128,239,2,0,0,60,0,0,1446.85
2025-06-25,19:35:00,789,410,243,1,0,0,60,0,0,921.78
2025-06-25,19:36:00,408,167,600,2,0,0,0,17,43,744.55
2025-06-25,19:37:00,0,77,0,0,0,0,0,60,0,77
2025-06-25,19:38:00,1182,1495,1621,5,0,0,60,0,0,2501.96
2025-06-25,19:39:00,0,54,17,0,0,0,1,59,0,56.61
2025-06-25,19:40:00,499,284,497,2,0,0,60,0,0,759.39
2025-06-25,19:41:00,821,620,829,3,0,0,60,0,0,1321.24
2025-06-25,19:42:00,136,145,164,1,0,0,20,39,1,257.71
2025-06-25,19:43:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:44:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:45:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:46:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:47:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:48:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:49:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,19:50:00,0,55,63,0,0,0,11,49,0,83.63
2025-06-25,19:51:00,0,86,19,0,0,0,0,60,0,88.07
2025-06-25,19:52:00,435,345,324,1,0,0,60,0,0,642.83
2025-06-25,19:53:00,378,703,107,4,34,59,0,1,0,805.32
2025-06-25,19:54:00,0,0,0,0,0,60,0,0,0,0
2025-06-25,19:55:00,749,1260,1695,6,35,0,60,0,0,2240.9
2025-06-25,19:56:00,0,0,0,0,0,0,0,60,0,0
2025-06-25,19:57:00,340,203,148,2,0,0,0,47,13,422.74
2025-06-25,19:58:00,36,46,2,0,0,7,0,0,53,58.45
2025-06-25,19:59:00,1493,1319,1223,8,0,0,60,0,0,2337.64
2025-06-25,20:00:00,34,427,39,1,0,1,0,3,56,430.12
2025-06-25,20:01:00,335,1407,869,4,0,7,0,29,24,1687.32
2025-06-25,20:02:00,0,182,0,0,0,60,0,0,0,182
2025-06-25,20:03:00,1146,952,893,9,0,0,60,0,0,1736.97
2025-06-25,20:04:00,1790,2085,2939,17,0,0,60,0,0,4023.56
2025-06-25,20:05:00,1396,1348,2964,15,0,0,60,0,0,3542.77
2025-06-25,20:06:00,2898,2724,4892,23,0,0,60,0,0,6304.78
2025-06-25,20:07:00,2312,1687,3788,20,0,0,60,0,0,4747.66
2025-06-25,20:08:00,2537,1550,3106,17,0,0,60,0,0,4299.55
2025-06-25,20:09:00,1588,1646,1958,12,0,0,60,0,0,3010.78
2025-06-25,20:10:00,2007,2237,2277,20,0,0,60,0,0,3770.54
2025-06-25,20:11:00,2284,2106,3639,16,0,0,60,0,0,4784.79
2025-06-25,20:12:00,2610,2411,2730,16,0,0,60,0,0,4480.84
2025-06-25,20:13:00,2512,1595,1984,13,0,0,60,0,0,3576.37
2025-06-25,20:14:00,278,272,606,2,0,0,0,17,43,720.07
2025-06-25,20:15:00,1215,1034,1179,16,0,0,60,0,0,1983.79
2025-06-25,20:16:00,382,96,756,31,0,0,45,15,0,852.45
2025-06-25,20:17:00,460,163,743,36,0,0,60,0,0,888.94
2025-06-25,20:18:00,1071,912,970,28,0,0,60,0,0,1708.71
2025-06-25,20:19:00,1401,1064,1274,15,0,0,60,0,0,2172.09
2025-06-25,20:20:00,51,34,13,8,0,0,0,59,1,62.66
2025-06-25,20:21:00,30,66,47,1,0,0,0,48,12,86.4
2025-06-25,20:22:00,348,127,33,27,0,0,0,55,5,371.92
2025-06-25,20:23:00,651,246,36,39,0,0,60,0,0,696.86
2025-06-25,20:24:00,855,333,371,35,0,0,60,0,0,989.72
2025-06-25,20:25:00,1559,651,951,28,0,0,60,0,0,1938.73
2025-06-25,20:26:00,1754,807,457,29,0,0,60,0,0,1984.09
2025-06-25,20:27:00,699,5,10,33,0,0,60,0,0,699.09
2025-06-25,20:28:00,1326,450,698,25,0,0,60,0,0,1564.6
2025-06-25,20:29:00,487,303,183,14,0,0,60,0,0,602.05
2025-06-25,20:30:00,1836,1216,1794,13,0,0,60,0,0,2840.42
2025-06-25,20:31:00,1057,1631,2083,6,0,0,60,0,0,2848.91
2025-06-25,20:32:00,84,19,228,1,0,0,0,8,52,243.72
2025-06-25,20:33:00,22,2,173,1,0,0,0,0,60,174.4
2025-06-25,20:34:00,124,3,34,1,0,0,0,48,12,128.61
2025-06-25,20:35:00,430,225,382,2,0,0,60,0,0,617.62
2025-06-25,20:36:00,808,584,590,4,0,0,60,0,0,1158.46
2025-06-25,20:37:00,920,748,1735,16,0,0,60,0,0,2101.46
2025-06-25,20:38:00,0,7,10,0,0,0,0,60,0,12.21
2025-06-25,20:39:00,614,514,508,5,0,0,60,0,0,948.29
2025-06-25,20:40:00,677,944,1053,3,0,0,60,0,0,1567.89
2025-06-25,20:41:00,108,11,189,3,0,0,0,0,60,217.96
2025-06-25,20:42:00,255,116,107,1,0,0,37,2,21,299.88
2025-06-25,20:43:00,108,44,283,1,0,0,50,10,0,306.09
2025-06-25,20:44:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,20:45:00,0,0,0,0,0,0,60,0,0,0
2025-06-25,20:46:00,7,137,204,1,0,0,58,2,0,245.83
2025-06-25,20:47:00,1992,3332,2562,15,0,0,60,0,0,4651.25
2025-06-25,20:48:00,953,1924,869,6,0,0,60,0,0,2316.28
2025-06-25,20:49:00,0,0,0,0,0,0,0,60,0,0
2025-06-25,20:50:00,1693,3361,3237,19,0,0,60,0,0,4963.94
2025-06-25,20:51:00,1211,1870,1815,6,0,0,60,0,0,2873.61
2025-06-25,20:52:00,228,403,300,2,0,1,0,58,1,551.72
2025-06-25,20:53:00,50,146,279,1,0,0,1,59,0,318.84
2025-06-25,20:54:00,0,0,0,0,0,0,0,60,0,0
2025-06-25,20:55:00,0,0,0,0,0,0,0,60,0,0
