------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd Filter Normal -----------
Serial Number: MOS2E47200184
Start Time 17:39:00
Start Date 2025-07-16
Epoch Period (hh:mm:ss) 00:01:00
Download Time 08:16:52
Download Date 2025-08-13
Current Memory Address: 0
Current Battery Voltage: 3.88     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
2025-07-16,17:39:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:40:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:41:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:42:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:43:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:44:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:45:00,396,301,290,1,0,59,0,1,0,575.78
2025-07-16,17:46:00,752,351,611,7,0,0,60,0,0,1030.55
2025-07-16,17:47:00,641,316,358,2,0,0,60,0,0,799.31
2025-07-16,17:48:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:49:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:50:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:51:00,0,6,0,0,0,60,0,0,0,6
2025-07-16,17:52:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:53:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:54:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:55:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:56:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:57:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:58:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,17:59:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:00:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:01:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:02:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:03:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:04:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:05:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:06:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:07:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:08:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:09:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:10:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:11:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:12:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:13:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:14:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:15:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:16:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:17:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:18:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:19:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:20:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:21:00,263,125,282,0,0,59,0,1,0,405.36
2025-07-16,18:22:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:23:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:24:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:25:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:26:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:27:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:28:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:29:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:30:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:31:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:32:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:33:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:34:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:35:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:36:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:37:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:38:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:39:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:40:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:41:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:42:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:43:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:44:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:45:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:46:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:47:00,0,0,0,0,0,60,0,0,0,0
2025-07-16,18:48:00,305,291,203,3,0,59,0,1,0,467.88
2025-07-16,18:49:00,70,83,7,1,0,60,0,0,0,108.8
2025-07-16,18:50:00,413,183,1048,2,0,58,0,2,0,1141.21
