------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.13.4 Firmware v1.9.2 date format yyyy-MM-dd Filter Normal -----------
Serial Number: MOS2E23230771
Start Time 19:00:00
Start Date 2026-01-06
Epoch Period (hh:mm:ss) 00:01:00
Download Time 10:27:18
Download Date 2026-01-19
Current Memory Address: 0
Current Battery Voltage: 3.93     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
2026-01-06,19:00:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,19:01:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,19:02:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,19:03:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,19:04:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,19:05:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,19:06:00,909,649,1029,8,0,0,60,0,0,1518.66
2026-01-06,19:07:00,347,705,257,4,0,0,0,59,1,826.73
2026-01-06,19:08:00,917,320,897,11,0,0,60,0,0,1322.08
2026-01-06,19:09:00,1636,1240,2036,38,0,0,60,0,0,2891.26
2026-01-06,19:10:00,1256,520,1383,28,0,0,60,0,0,1939.23
2026-01-06,19:11:00,2873,2030,1186,52,0,0,60,0,0,3712.36
2026-01-06,19:12:00,2739,2079,1523,69,0,0,60,0,0,3760.84
2026-01-06,19:13:00,2083,787,1068,58,0,0,60,0,0,2469.59
2026-01-06,19:14:00,1076,773,866,36,0,0,60,0,0,1582.8
2026-01-06,19:15:00,1503,938,510,50,0,0,60,0,0,1843.62
2026-01-06,19:16:00,1192,998,896,48,0,0,60,0,0,1794.35
2026-01-06,19:17:00,1963,1318,1499,53,0,0,60,0,0,2799.55
2026-01-06,19:18:00,309,50,279,6,0,0,0,11,49,419.31
2026-01-06,19:19:00,430,390,930,22,0,0,60,0,0,1096.31
2026-01-06,19:20:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,19:21:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,19:22:00,747,697,870,19,0,0,60,0,0,1341.91
2026-01-06,19:23:00,0,0,0,0,0,0,0,0,60,0
2026-01-06,19:24:00,0,0,2,0,0,0,0,15,45,2
2026-01-06,19:25:00,2020,1940,2073,12,0,0,60,0,0,3484.44
2026-01-06,19:26:00,1335,2942,2140,11,0,0,60,0,0,3875.2
2026-01-06,19:27:00,582,1479,1973,5,0,0,60,0,0,2533.55
2026-01-06,19:28:00,1090,634,978,2,0,0,60,0,0,1595.79
2026-01-06,19:29:00,221,355,347,3,0,0,0,60,0,543.39
2026-01-06,19:30:00,96,83,108,1,0,0,0,60,0,166.64
2026-01-06,19:31:00,633,797,1863,9,0,0,60,0,0,2122.89
2026-01-06,19:32:00,1050,1086,2474,7,0,0,60,0,0,2898.72
2026-01-06,19:33:00,0,25,313,0,0,0,0,60,0,314
2026-01-06,19:34:00,553,659,1785,7,0,0,60,0,0,1981.49
2026-01-06,19:35:00,1584,1818,2292,10,0,0,60,0,0,3326.78
2026-01-06,19:36:00,2411,1357,1426,8,0,0,60,0,0,3112.53
2026-01-06,19:37:00,1758,1953,1972,11,0,0,60,0,0,3285.35
2026-01-06,19:38:00,539,716,532,6,0,0,60,0,0,1042.21
2026-01-06,19:39:00,197,125,47,2,0,55,0,0,5,238
2026-01-06,19:40:00,631,556,660,5,0,0,60,0,0,1069.06
2026-01-06,19:41:00,1,209,93,0,0,0,0,60,0,228.76
2026-01-06,19:42:00,774,806,1592,6,0,0,60,0,0,1945.04
2026-01-06,19:43:00,1312,821,1918,3,0,0,60,0,0,2464.57
2026-01-06,19:44:00,998,676,1360,5,0,0,60,0,0,1817.3
2026-01-06,19:45:00,835,833,1564,8,0,0,60,0,0,1958.88
2026-01-06,19:46:00,353,340,726,5,0,0,0,60,0,875.95
2026-01-06,19:47:00,441,411,950,4,0,0,60,0,0,1125.12
2026-01-06,19:48:00,174,433,509,3,0,0,0,49,11,690.54
2026-01-06,19:49:00,255,348,711,4,0,0,0,60,0,831.65
2026-01-06,19:50:00,2047,1438,1242,7,0,0,60,0,0,2792.96
2026-01-06,19:51:00,421,207,559,2,0,0,60,0,0,729.77
2026-01-06,19:52:00,1040,1272,3372,12,0,0,60,0,0,3751
2026-01-06,19:53:00,1008,1585,1531,11,0,0,60,0,0,2423.27
2026-01-06,19:54:00,3109,2543,1463,11,0,0,60,0,0,4274.7
2026-01-06,19:55:00,291,256,415,5,0,0,0,60,0,567.84
2026-01-06,19:56:00,1521,1802,2834,11,0,0,60,0,0,3686.76
2026-01-06,19:57:00,240,592,420,4,0,0,0,60,0,764.5
2026-01-06,19:58:00,1076,957,995,9,0,0,60,0,0,1750.33
2026-01-06,19:59:00,4151,4183,3885,18,0,0,60,0,0,7058.44
2026-01-06,20:00:00,755,900,1406,7,0,0,60,0,0,1832.17
2026-01-06,20:01:00,3582,3584,4384,26,0,0,60,0,0,6700.39
2026-01-06,20:02:00,1537,2215,1612,10,0,0,60,0,0,3141.2
2026-01-06,20:03:00,697,843,519,4,0,0,60,0,0,1210.71
2026-01-06,20:04:00,7,162,161,1,0,0,0,60,0,228.5
2026-01-06,20:05:00,0,8,0,0,0,0,0,60,0,8
2026-01-06,20:06:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:07:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:08:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:09:00,0,123,74,0,0,0,0,60,0,143.54
2026-01-06,20:10:00,526,660,315,3,0,0,60,0,0,900.83
2026-01-06,20:11:00,66,480,64,2,0,0,0,60,0,488.72
2026-01-06,20:12:00,183,810,441,2,0,1,0,56,3,940.25
2026-01-06,20:13:00,1426,2200,1529,9,0,0,60,0,0,3035.02
2026-01-06,20:14:00,741,1446,271,7,0,0,60,0,0,1647.25
2026-01-06,20:15:00,0,86,0,0,0,23,0,2,35,86
2026-01-06,20:16:00,98,182,129,2,0,0,0,52,8,243.66
2026-01-06,20:17:00,99,582,201,1,0,0,0,60,0,623.64
2026-01-06,20:18:00,797,1447,792,4,0,0,60,0,0,1832.02
2026-01-06,20:19:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:20:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:21:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:22:00,58,176,24,2,0,57,0,1,2,186.86
2026-01-06,20:23:00,281,718,329,3,0,26,0,2,32,838.29
2026-01-06,20:24:00,68,363,293,1,0,0,0,38,22,471.43
2026-01-06,20:25:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:26:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:27:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:28:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:29:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:30:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:31:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:32:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:33:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:34:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:35:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:36:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:37:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:38:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:39:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:40:00,0,0,0,0,0,60,0,0,0,0
2026-01-06,20:41:00,0,0,0,0,0,0,0,60,0,0
2026-01-06,20:42:00,3900,3743,3369,18,0,0,60,0,0,6369.47
2026-01-06,20:43:00,3089,4474,3002,46,0,0,60,0,0,6210.52
